,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
45,adult,fnlwgt,45,39,64,7,1,9,-1,0.02564102564102564,0.02564102564102564,5.0,5.333333333333333,17,130,0.13076923076923078
46,adult,fnlwgt,46,41,64,9,1,12,-1,0.024390243902439022,0.024390243902439025,4.5,4.625,25,130,0.19230769230769232
47,adult,fnlwgt,47,41,62,7,1,7,-1,0.02439024390243902,0.024390243902439025,4.0,4.857142857142857,22,130,0.16923076923076924
48,adult,fnlwgt,48,37,58,7,1,8,-1,0.02702702702702703,0.02702702702702703,4.5,4.625,22,128,0.171875
49,adult,fnlwgt,49,45,67,8,1,11,-1,0.022222222222222223,0.02222222222222222,4.0,4.142857142857143,27,136,0.19852941176470587
50,adult,fnlwgt,50,35,53,6,1,13,-1,0.02857142857142857,0.02857142857142857,5.0,5.0,18,112,0.16071428571428573
51,adult,fnlwgt,51,33,61,7,1,5,-1,0.03030303030303031,0.030303030303030304,4.5,5.0,17,132,0.12878787878787878
52,adult,fnlwgt,52,38,57,6,1,8,-1,0.02631578947368421,0.026315789473684216,4.0,4.571428571428571,25,118,0.211864406779661
53,adult,fnlwgt,53,36,61,7,1,9,-1,0.027777777777777783,0.027777777777777776,5.0,5.444444444444445,20,126,0.15873015873015872
54,adult,fnlwgt,54,31,53,6,1,6,-1,0.03225806451612904,0.032258064516129024,5.0,5.777777777777778,18,110,0.16363636363636364
55,adult,fnlwgt,55,39,60,8,1,11,-1,0.025641025641025637,0.02564102564102564,4.5,4.833333333333333,21,126,0.16666666666666666
56,adult,fnlwgt,56,40,61,9,1,11,-1,0.025,0.025000000000000005,5.0,5.222222222222222,21,126,0.16666666666666666
57,adult,fnlwgt,57,33,61,5,1,4,-1,0.0303030303030303,0.030303030303030304,5.0,6.166666666666667,16,128,0.125
58,adult,fnlwgt,58,33,49,8,1,8,-1,0.0303030303030303,0.030303030303030304,4.5,4.625,21,106,0.19811320754716982
59,adult,fnlwgt,59,34,55,5,1,8,-1,0.029411764705882353,0.029411764705882353,5.0,5.875,18,116,0.15517241379310345
60,adult,fnlwgt,60,35,60,6,1,4,-1,0.02857142857142857,0.02857142857142857,5.0,5.375,22,124,0.1774193548387097
61,adult,fnlwgt,61,41,65,9,1,3,-1,0.024390243902439025,0.024390243902439022,5.0,5.0,26,134,0.19402985074626866
62,adult,fnlwgt,62,39,71,6,1,4,-1,0.02564102564102564,0.02564102564102564,5.0,5.444444444444445,19,146,0.13013698630136986
63,adult,fnlwgt,63,39,61,7,1,7,-1,0.025641025641025647,0.025641025641025637,5.5,6.0,20,126,0.15873015873015872
64,adult,fnlwgt,64,41,64,6,1,8,-1,0.02439024390243903,0.024390243902439025,4.5,5.125,21,130,0.16153846153846155
65,adult,fnlwgt,65,41,69,7,1,4,-1,0.024390243902439025,0.024390243902439015,4.5,4.5,17,144,0.11805555555555555
